ID	creator	title	title-alt-script	publisher	to split 1	clusteredPlaces	clusteredPublisher	date	language	imagecount
nybc211349	Ignatoff, David, 1885-1954	Gold un zilber un brilyanṭen	גאלד און זילבער און בריליאנטען	[New York] : Farlag Ameriḳa	[New York] 	New York, N.Y.	Farlag Ameriḳa	1921	yid	26
nybc211355		Ṿelt-geshikhṭe	וועלט-געשיכטע	Ṿarsha : Yehudi, [690?]	Ṿarsha 	Warsaw	Yehudi, 690?	1929	yid	110
nybc211357	Ṭanenboym, A., 1848-1913	Ḳalṭ un ṿarm a roman	קאלט און ווארם : א ראמאן	London ; Nyu Yorḳ : Ferlag fun Y. Malimzohn	London ; Nyu Yorḳ 	London ; Nyu Yorḳ	Ferlag fun Y. Malimzohn	1911	yid	546
nybc211358	Duboṿsḳi, B., b. 1888	Ḳanser ṿos far a ḳranḳheyṭ dos iz : ṿer es laydṭ derfun : urzakhen, simonim un bahandlungen	קאנסער : וואס פאר א קראנקהייט דאס איז : ווער עס ליידט דערפון : אורזאכען, סמנים און באהאנדלונגען	Nyu-Yorḳ : [o. fg.]	Nyu-Yorḳ 	New York, N.Y.	o. fg.,	1945	yid	34
nybc211360	Starkman, Moshe, 1906-1975	Araynfir in Ḥ. N. Byaliḳs ideyen-ṿelṭ	אריינפיר אין ח. נ. ביאליקס אידעען-וועלט	"Los Andzsheles, Ḳalifornye : Farlag ""Ḥeshbn"""	Los Andzsheles, Ḳalifornye 	Los Angeles	"Farlag ""Ḥeshbn"""	1973	yid	14
nybc211361	Harṭsman, M.	Fun ṭron oyf der tliye	פון טראן אויף דער תליה	Originally published: Ṿarshe : Groshn-biblioṭeḳ	Originally published		Ṿarshe : Groshn-biblioṭeḳ	1930	yid	70
nybc211362	Markish, Peretz	A ṭoyṭ di ḳanibaln!	א טויט די קאניבאלנ!	Der emes			Der emes	1941	yid	72
nybc211363	Epshṭeyn, Ab	Gezen in Biro-Bidzshan	געזען אין בירא-בידזשאן	Nyu Yorḳ : Iḳor	Nyu Yorḳ 	New York, N.Y.	Iḳor	1931	yid	26
nybc211364	Reznitshenko, Y	Dnyeperboy	דניעפערבוי	Ḳieṿ : Ḳulṭur-Lige	Ḳieṿ 	Kiev	Ḳulṭur-lige	1930	yid	46
nybc211365	Popp, Adelheid, 1869-1939	Di yugend geshikhṭe fun an-arbeyṭerin	די יוגענד געשיכטע פון אן-ארבייטערין	"Shiḳago, Ill. : Aroysgegeben fun di ""Idishe Arbeyṭer ṿelṭ"""	Shiḳago, Ill. 	Chicago	"Aroysgegeben fun di ""Idishe Arbeyṭer ṿelṭ"""	[19--?]	yid	290
nybc211367	Berman, Joseph	Mayn haḳofe arum der ṿelṭ	מיין הקפה ארום דער וועלט	Westmount, Que., Y. Berman			Westmount, Que., Y. Berman	1986	yid	196
nybc211368	Aronowski, Eliezer	Fun eybiḳn ḳṿal dertseylungen un bilder	פון אייביקן קוואל : דערציילונגען און בילדער	"[Tel Aviv] : Farlag ""Nay-lebn"""	[Tel Aviv] 	Tel-Aviv	Farlag Nay-lebn	1986	yid	210
nybc211369	Mindel, Nissan	Dertseyl mir a mayśe geḳlibene dertseylungen	דערציילט מיר א מעשה : געקליבענע דערציילונגען	Bruḳlin, N.Y. : Merkaz le-inyene ḥinukh	Bruḳlin, N.Y. 	Brooklyn, New York	Merkaz le-inyene ḥinukh	1988	yid	286
nybc211374	Gildin, Chaim	Gezamlṭe ṿerḳ	געזאמלטע ווערק	Originally published: Kharḳoṿ : Liṭeraṭur un ḳunsṭ	Originally published		Kharḳoṿ : Liṭeraṭur un ḳunsṭ	1932	yid	300
nybc211375	Zshuḳoṿsḳi, S.	Pruṿn	פרווונ	Kharḳoṿ : Melukhe-farlag far di natsionale minderhayṭn in USRR	Kharḳoṿ 	Kharḳoṿ	Melukhe-farlag far di natsionale minderhayṭn in USRR	1934	yid	242
